City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Grenada,ES,84.56,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
633,Bauru,BR,81.54,few clouds,-22.3147,-49.0606,Astor Hotel
637,Saint-Cyr-Sur-Loire,FR,79.56,clear sky,47.4,0.6667,Hotel Val de Loire
638,Mogadishu,SO,82.29,light rain,2.0371,45.3438,Hotel Juba
639,Muli,MV,84.31,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
646,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
653,Florida,US,85.91,broken clouds,28.7505,-82.5001,Sportsmens Cove
656,Jardim,BR,88.54,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
657,Soyo,AO,80.74,broken clouds,-6.1349,12.3689,Hotel Mpampa
665,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
667,Waw,SS,87.08,light rain,7.7029,27.9953,Universal Gab Hotel
670,Minab,IR,84.52,haze,27.1467,57.0801,Bam campground
